iter	Passed	Remaining
0	138	138480
1	140	70326
2	142	47517
3	144	36087
4	147	29261
5	149	24753
6	151	21494
7	153	19044
8	155	17145
9	157	15600
10	159	14347
11	161	13298
12	163	12412
13	165	11643
14	167	10992
15	169	10406
16	171	9889
17	172	9425
18	174	9003
19	176	8652
20	178	8319
21	180	8014
22	182	7735
23	184	7489
24	186	7254
25	187	7042
26	190	6853
27	191	6650
28	193	6484
29	195	6323
30	197	6176
31	199	6024
32	201	5890
33	202	5762
34	204	5642
35	206	5535
36	208	5427
37	210	5326
38	212	5230
39	214	5145
40	216	5056
41	217	4971
42	219	4890
43	221	4813
44	223	4738
45	225	4668
46	226	4601
47	228	4537
48	230	4476
49	232	4416
50	234	4360
51	236	4304
52	237	4251
53	239	4200
54	241	4151
55	243	4103
56	245	4056
57	247	4011
58	248	3968
59	250	3925
60	252	3885
61	254	3845
62	255	3802
63	257	3765
64	259	3729
65	261	3693
66	262	3658
67	264	3625
68	266	3594
69	268	3562
70	269	3531
71	271	3504
72	273	3476
73	275	3447
74	277	3420
75	279	3393
76	280	3367
77	282	3341
78	284	3318
79	286	3296
80	288	3275
81	290	3254
82	292	3232
83	294	3210
84	296	3188
85	297	3166
86	299	3138
87	300	3118
88	302	3097
89	304	3078
90	306	3059
91	308	3040
92	309	3021
93	311	3005
94	313	2987
95	315	2970
96	317	2953
97	319	2937
98	320	2920
99	322	2905
100	324	2892
101	326	2878
102	328	2863
103	330	2849
104	332	2836
105	334	2822
106	336	2809
107	338	2798
108	340	2786
109	342	2773
110	344	2762
111	346	2748
112	348	2735
113	350	2722
114	352	2709
115	354	2698
116	356	2686
117	357	2675
118	359	2664
119	361	2652
120	363	2641
121	365	2631
122	367	2620
123	369	2610
124	371	2600
125	373	2590
126	375	2577
127	377	2570
128	379	2560
129	381	2550
130	382	2540
131	385	2532
132	386	2520
133	388	2511
134	390	2501
135	392	2492
136	394	2482
137	395	2473
138	397	2463
139	399	2454
140	401	2444
141	403	2435
142	404	2426
143	406	2418
144	408	2409
145	410	2401
146	412	2392
147	414	2383
148	415	2375
149	417	2366
150	419	2358
151	421	2350
152	423	2342
153	425	2335
154	426	2327
155	428	2319
156	430	2311
157	432	2304
158	434	2297
159	436	2290
160	438	2283
161	439	2275
162	441	2268
163	443	2261
164	445	2254
165	447	2247
166	449	2240
167	451	2234
168	453	2227
169	454	2220
170	456	2214
171	458	2207
172	460	2200
173	462	2194
174	464	2187
175	465	2181
176	467	2174
177	469	2168
178	471	2162
179	473	2155
180	474	2149
181	476	2142
182	478	2136
183	480	2130
184	482	2124
185	484	2118
186	485	2111
187	487	2106
188	489	2100
189	491	2094
190	493	2089
191	495	2083
192	496	2078
193	498	2072
194	500	2066
195	502	2062
196	504	2057
197	506	2051
198	508	2046
199	510	2040
200	512	2035
201	514	2030
202	516	2026
203	517	2020
204	519	2015
205	521	2010
206	523	2005
207	525	2000
208	527	1994
209	528	1989
210	531	1986
211	533	1981
212	534	1976
213	536	1971
214	538	1966
215	540	1962
216	542	1958
217	544	1952
218	546	1947
219	547	1942
220	549	1937
221	551	1932
222	553	1927
223	555	1923
224	556	1918
225	558	1913
226	560	1908
227	562	1903
228	564	1898
229	565	1894
230	567	1889
231	569	1884
232	571	1879
233	572	1875
234	574	1870
235	576	1865
236	578	1861
237	580	1856
238	581	1852
239	583	1847
240	585	1843
241	587	1840
242	589	1836
243	591	1831
244	592	1827
245	594	1822
246	596	1818
247	597	1812
248	599	1807
249	601	1803
250	602	1799
251	604	1794
252	606	1791
253	608	1787
254	610	1783
255	612	1779
256	614	1775
257	615	1771
258	617	1767
259	619	1763
260	621	1760
261	623	1757
262	625	1752
263	627	1748
264	629	1744
265	630	1740
266	632	1736
267	634	1732
268	636	1728
269	637	1724
270	639	1720
271	641	1716
272	643	1712
273	644	1708
274	646	1704
275	648	1700
276	649	1696
277	651	1692
278	653	1688
279	655	1684
280	656	1681
281	658	1677
282	660	1673
283	662	1669
284	663	1665
285	665	1661
286	667	1657
287	668	1653
288	670	1649
289	672	1646
290	674	1642
291	675	1638
292	677	1635
293	679	1632
294	681	1629
295	683	1625
296	685	1622
297	687	1619
298	689	1615
299	690	1611
300	692	1608
301	694	1605
302	696	1601
303	697	1597
304	699	1594
305	701	1590
306	703	1587
307	704	1583
308	706	1580
309	708	1577
310	710	1574
311	712	1571
312	714	1567
313	716	1564
314	717	1561
315	719	1557
316	721	1554
317	723	1550
318	724	1547
319	726	1544
320	728	1540
321	730	1537
322	731	1534
323	733	1530
324	735	1527
325	737	1523
326	739	1520
327	740	1517
328	742	1514
329	744	1511
330	746	1507
331	747	1504
332	749	1501
333	751	1498
334	753	1495
335	754	1491
336	756	1488
337	758	1485
338	759	1481
339	761	1478
340	763	1475
341	765	1472
342	766	1469
343	768	1465
344	770	1462
345	772	1459
346	773	1456
347	775	1453
348	777	1449
349	779	1446
350	780	1443
351	782	1440
352	784	1437
353	786	1434
354	787	1431
355	789	1428
356	790	1423
357	792	1421
358	794	1418
359	795	1415
360	797	1412
361	799	1409
362	801	1406
363	803	1403
364	804	1400
365	806	1397
366	808	1394
367	810	1391
368	811	1388
369	813	1385
370	815	1382
371	817	1379
372	819	1376
373	820	1373
374	822	1371
375	824	1367
376	826	1365
